@relation algoritmo_bic_imagem_fish_ball_car_training

@attribute 0 real
@attribute 1 real
@attribute 2 real
@attribute 3 real
@attribute 4 real
@attribute 5 real
@attribute 6 real
@attribute 7 real
@attribute 8 real
@attribute 9 real
@attribute 10 real
@attribute 11 real
@attribute 12 real
@attribute 13 real
@attribute 14 real
@attribute 15 real
@attribute 16 real
@attribute 17 real
@attribute 18 real
@attribute 19 real
@attribute 20 real
@attribute 21 real
@attribute 22 real
@attribute 23 real
@attribute 24 real
@attribute 25 real
@attribute 26 real
@attribute 27 real
@attribute 28 real
@attribute 29 real
@attribute 30 real
@attribute 31 real
@attribute 32 real
@attribute 33 real
@attribute 34 real
@attribute 35 real
@attribute 36 real
@attribute 37 real
@attribute 38 real
@attribute 39 real
@attribute 40 real
@attribute 41 real
@attribute 42 real
@attribute 43 real
@attribute 44 real
@attribute 45 real
@attribute 46 real
@attribute 47 real
@attribute 48 real
@attribute 49 real
@attribute 50 real
@attribute 51 real
@attribute 52 real
@attribute 53 real
@attribute 54 real
@attribute 55 real
@attribute 56 real
@attribute 57 real
@attribute 58 real
@attribute 59 real
@attribute 60 real
@attribute 61 real
@attribute 62 real
@attribute 63 real
@attribute 64 real
@attribute 65 real
@attribute 66 real
@attribute 67 real
@attribute 68 real
@attribute 69 real
@attribute 70 real
@attribute 71 real
@attribute 72 real
@attribute 73 real
@attribute 74 real
@attribute 75 real
@attribute 76 real
@attribute 77 real
@attribute 78 real
@attribute 79 real
@attribute 80 real
@attribute 81 real
@attribute 82 real
@attribute 83 real
@attribute 84 real
@attribute 85 real
@attribute 86 real
@attribute 87 real
@attribute 88 real
@attribute 89 real
@attribute 90 real
@attribute 91 real
@attribute 92 real
@attribute 93 real
@attribute 94 real
@attribute 95 real
@attribute 96 real
@attribute 97 real
@attribute 98 real
@attribute 99 real
@attribute 100 real
@attribute 101 real
@attribute 102 real
@attribute 103 real
@attribute 104 real
@attribute 105 real
@attribute 106 real
@attribute 107 real
@attribute 108 real
@attribute 109 real
@attribute 110 real
@attribute 111 real
@attribute 112 real
@attribute 113 real
@attribute 114 real
@attribute 115 real
@attribute 116 real
@attribute 117 real
@attribute 118 real
@attribute 119 real
@attribute 120 real
@attribute 121 real
@attribute 122 real
@attribute 123 real
@attribute 124 real
@attribute 125 real
@attribute 126 real
@attribute 127 real
@attribute class {fish,ball,car}

@data
94,635,4090,902,9,80,1609,2826,0,0,1222,9441,0,0,1,8552,15,99,5970,7116,8,98,1017,7014,0,1,395,805,0,0,1,1627,0,0,1,0,0,16,342,658,0,9,2577,2651,0,0,203,3111,0,0,0,0,0,0,0,0,0,0,71,13,0,0,149,3101,0,40,1469,5,0,0,8,41,0,0,202,6126,0,0,0,236,0,5,778,14,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57596,fish
22,1452,7480,3878,0,33,3847,8758,0,0,7,2522,0,0,0,4,0,14,20,0,0,67,2166,2013,0,0,592,5951,0,0,0,420,0,0,0,0,0,0,4,2,0,0,589,2977,0,0,0,2059,0,0,0,0,0,0,0,0,0,0,1,50,0,0,0,2763,0,3,1793,240,0,0,2,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39,0,0,0,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44775,fish
814,780,568,166,190,2829,2333,789,0,1,450,252,0,0,0,0,19,0,0,0,3,3196,2274,98,0,1035,4947,680,0,0,0,66,0,0,0,0,0,2,0,0,0,2,2833,484,0,0,471,1034,0,0,0,0,0,0,0,0,0,0,8,2,0,0,6,1944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28276,fish
3828,77,0,5,673,437,230,90,76,898,1643,1097,0,7,561,631,2352,0,3,0,6386,89,33,36,3911,3938,1379,565,21,279,1533,1396,0,0,0,0,1363,3,1,7,6974,4117,486,222,434,2397,2897,1829,0,0,0,0,2,0,0,0,111,74,2,26,79,477,838,1256,52707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,283,0,0,0,190,33,7,0,0,0,12,0,0,0,0,0,51,0,0,0,906,25,0,0,1,27,197,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,1228,fish
81,47,554,2577,0,41,1244,6916,0,0,19,5009,0,0,0,44,0,0,0,0,0,403,37,582,0,0,71,4831,0,0,0,690,0,0,0,0,0,0,0,0,0,0,347,1228,0,0,0,3965,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,3700,0,0,0,0,0,0,0,133,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31864,fish
8979,1121,0,0,160,3512,877,0,0,0,14,0,0,0,0,0,6147,32,0,0,4399,10509,2348,0,0,56,3981,322,0,0,0,0,0,0,0,0,1,2394,8,0,0,1964,9022,1314,0,0,514,3027,0,0,0,0,0,0,0,0,0,4,1363,40,0,0,2052,8140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72300,fish
2750,7129,40,0,2194,10277,4139,23,0,0,789,30,0,0,0,0,56,186,182,0,6136,20199,12529,103,0,7164,11742,1356,0,0,0,0,0,0,0,0,0,29,170,152,0,4353,16646,11980,0,0,435,8740,0,0,0,0,0,0,0,0,0,0,22,45,0,0,120,7411,3828,5400,0,0,569,1040,83,0,0,0,0,0,0,0,0,0,0,1,21,0,47785,26518,2692,14,0,8267,1351,2,0,0,0,0,0,0,0,0,0,0,3,3,0,6142,12404,4302,0,0,10,1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14735,fish
2066,155,0,0,456,318,3,0,0,1,8,0,0,0,0,0,235,11,0,0,1479,3299,183,0,0,446,466,1,0,0,0,7,0,0,0,0,1,285,2,0,0,2609,3443,259,0,0,172,528,0,0,0,0,0,0,0,0,0,2,268,9,0,0,325,2543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19577,fish
3780,565,1366,562,9365,15760,7033,5756,16,8426,4309,4923,0,24,1205,736,10,62,0,0,292,5832,1787,492,0,7641,8851,1696,0,0,790,732,0,0,0,0,0,0,0,0,0,95,4400,125,0,0,247,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,986,3835,4934,1685,0,5489,3883,674,0,3,1592,128,0,0,0,0,26,4730,3,1,0,21870,22158,26,0,0,1332,103,0,0,0,0,0,0,0,0,0,51,23161,0,0,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fish
1926,5392,65,0,0,9250,10203,57,0,0,5029,6736,0,0,0,5926,0,0,0,0,0,1215,2390,0,0,1,7052,12731,0,0,0,15024,0,0,0,0,0,15,10,0,0,10,1671,3013,0,0,18,20135,0,0,0,0,0,0,0,0,0,0,67,5,0,0,118,9963,2308,2940,2,0,0,4148,5505,0,0,0,478,1158,0,0,0,236,0,0,0,0,0,108,93,0,0,0,1454,3186,0,0,0,3617,0,0,0,0,0,0,0,0,0,0,33,50,0,0,0,2567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90139,fish
65,2921,2225,302,0,447,4094,2119,0,0,21,463,0,0,0,223,0,55,79,1,0,534,12675,5109,0,0,1748,10053,0,0,0,1100,0,0,0,0,0,0,724,107,0,0,5569,17706,0,0,6,8919,0,0,0,0,0,0,0,0,0,0,12,803,0,0,7,10129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88216,fish
3387,2494,188,0,4197,6620,6793,2565,0,27,1430,2966,0,0,0,3,0,0,0,0,0,17,727,391,0,30,477,3090,0,0,0,430,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,8179,10,0,0,16187,12172,70,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fish
1643,254,746,1642,1077,1048,1762,3156,0,0,0,62,0,0,0,0,0,1,14,69,720,2145,1802,2316,0,1610,1356,710,0,0,0,0,0,0,0,0,0,0,0,1,0,557,757,69,0,0,24,12,0,0,0,0,0,0,0,0,0,0,74,0,0,0,136,43,21227,0,247,104,760,414,58,0,0,0,0,0,0,0,0,0,0,0,0,0,313,243,12,0,0,51,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,1,0,fish
684,112,0,0,390,1479,1190,0,26,95,1165,1096,0,0,62,1380,121,9,0,0,449,7856,2485,0,0,977,5215,2205,0,0,118,2155,0,0,0,0,0,867,0,0,635,3941,21314,3484,0,8,3090,10834,0,0,0,0,0,0,0,0,152,34,1731,17,3,176,5511,15928,0,4,0,0,0,539,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,154,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,95402,fish
1141,93,0,0,64,793,81,0,0,0,126,15,0,0,0,0,110,8,0,0,312,8877,1195,0,0,1183,6127,122,0,0,0,43,0,0,0,0,0,627,44,0,0,1768,23205,1159,0,0,4082,8614,0,0,0,0,0,0,0,0,0,0,1429,11,0,0,2332,14161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77616,fish
3604,3841,3548,256,3588,11495,13123,6555,0,2593,149,2396,0,191,75,154,1151,53,11,0,5595,10004,2625,1425,0,3131,1563,3424,0,723,1098,1169,0,0,0,0,1,2245,68,92,0,1522,640,563,0,0,45,802,0,0,0,0,0,0,0,0,0,1243,1086,3,0,0,490,208,505,1964,106,0,0,5393,664,11,0,0,0,0,0,0,0,0,1641,0,0,0,6141,36921,151,66,0,0,10,1365,0,0,0,144,0,0,0,0,0,12815,0,0,0,6852,19,21,0,0,0,81,0,0,0,0,0,0,0,0,0,1629,12380,0,0,0,3645,24,fish
2816,3495,1,0,0,2769,331,0,0,0,3,0,0,0,0,0,0,22,0,0,0,4388,5658,0,0,0,5307,8,0,0,0,0,0,0,0,0,0,1,4,0,0,0,3646,1006,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1795,6,18,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,67,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31361,fish
54,42,12,0,0,139,681,665,0,9,382,1550,0,0,1,98,0,0,0,0,0,56,82,12,0,23,630,1959,0,0,0,806,0,0,0,0,0,0,0,0,0,2,508,1094,0,0,70,2829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14429,fish
5932,9704,9013,4427,54,272,566,385,0,0,0,0,0,0,0,0,84,542,1276,2039,83,1253,4346,5882,1,22,40,319,0,0,0,0,0,0,0,0,0,10,78,689,0,15,126,1794,0,0,3,27,0,0,0,0,0,0,0,0,0,0,0,69,0,0,2,1977,34066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16964,fish
1908,73,0,0,694,214,0,0,0,1,0,0,0,0,0,0,914,0,0,0,8636,773,0,0,251,715,145,0,0,1,33,0,144,0,0,0,6897,192,0,0,724,2178,556,0,1,300,635,46,0,0,0,0,220,0,0,0,880,1358,40,0,2,827,1139,363,1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,103,0,0,0,0,0,0,fish
2278,169,0,0,246,1442,188,0,0,21,99,13,0,0,0,4,46,18,0,0,38,2758,1122,0,0,448,2744,212,0,0,15,93,0,0,0,0,0,66,70,0,0,106,4835,2539,0,0,88,3769,0,0,0,0,0,0,0,0,0,0,135,263,0,0,60,9183,2224,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,12,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30496,fish
172,228,364,71,0,190,1818,7408,0,0,0,1909,0,0,0,1,0,6,0,0,0,978,9422,10412,0,0,4852,36489,0,0,0,372,0,0,0,0,0,9,81,4,0,3,2463,26773,0,0,6,15227,0,0,0,0,0,0,0,0,0,0,3,13,0,0,5,7492,0,45,9,0,0,4,176,2085,0,0,0,133,0,0,0,0,0,0,0,0,0,47,3449,996,0,0,279,24659,0,0,0,28,0,0,0,0,0,0,0,0,0,0,279,8044,0,0,0,6839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79699,fish
0,0,91,258,0,0,53,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451,5390,0,0,60,1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1242,0,0,0,828,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15121,ball
3428,3868,559,0,6,629,1208,8962,0,0,0,55,0,0,0,0,6,71,0,0,4,1488,1560,19353,0,14,352,16145,0,0,0,0,0,0,0,0,0,1,0,0,0,2,548,6940,0,0,32,2970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70261,ball
7414,407,3,0,23,298,187,4,0,0,0,0,0,0,0,0,1437,2,0,0,1305,9795,921,0,0,2,526,27,0,0,0,0,0,0,0,0,0,1152,1,0,0,1068,6497,598,0,0,2,458,0,0,0,0,0,0,0,0,0,0,316,4,0,0,211,6347,4792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,6,781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30617,ball
239,0,0,0,13,88,0,0,0,178,868,0,0,4,1867,829,831,0,0,0,4620,402,0,0,94,580,716,0,0,63,665,99,2,0,0,0,8667,516,0,0,5554,1215,1189,8,0,20,112,259,0,0,0,0,813,0,0,0,11623,10716,966,148,43,8094,5840,3624,0,0,0,0,0,0,0,0,0,1,72,0,0,0,714,415,0,0,0,0,0,8,0,0,0,0,130,0,0,0,0,2,0,0,0,0,84,9,0,0,8,12,4195,0,0,0,1,17,0,0,0,0,0,0,0,0,6730,655,441,20,0,30,0,58021,ball
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6237,5899,0,0,9380,26155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,27725,0,0,332,17484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7136,0,0,0,4585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12119,0,0,0,33460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3110,0,0,0,55122,ball
170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,329,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,105,51,0,0,321,6099,0,0,0,1978,0,0,0,0,0,0,0,0,0,0,0,7479,0,0,0,13674,9652,0,0,0,2098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3780,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4726,0,0,0,6315,6149,0,0,0,21130,ball
0,1,0,0,8,27,0,0,0,0,0,0,0,0,0,0,295,1,0,0,171,498,25,0,0,9,10,0,0,0,0,0,1042,0,0,0,1809,233,17,0,0,95,651,0,0,0,2,2,0,0,0,0,1108,485,0,0,3,349,236,0,0,0,178,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8353,ball
4,1809,11693,1222,0,99,3114,906,0,0,0,0,0,0,0,0,0,5,3860,0,0,401,18579,8560,0,65,601,473,0,0,0,0,0,0,0,0,0,20,163,2613,0,73,2778,8509,0,0,50,342,0,0,0,0,0,0,0,0,0,0,9,2941,0,0,90,4851,0,0,5060,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525,771,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,34,848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66521,ball
23462,123,0,0,9,1912,34,0,0,0,67,30,0,0,0,780,27,5,0,0,1,14489,11,0,0,1,112,31,0,0,0,1298,0,0,0,0,0,0,1,0,0,0,1470,3,0,0,1,210,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2256,6483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39525,ball
2315,21,0,0,1959,1974,17,0,0,84,85,0,0,0,0,0,273,2,0,0,1790,2895,24,0,0,955,6548,9,0,0,6892,1258,0,0,0,0,0,49,0,0,0,420,5779,22,0,0,10632,6003,0,0,0,0,0,0,0,0,0,0,61,0,0,0,146,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,8,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,15,772,0,0,0,7549,10558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33083,ball
