0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,class,
94,635,4090,902,9,80,1609,2826,0,0,1222,9441,0,0,1,8552,15,99,5970,7116,8,98,1017,7014,0,1,395,805,0,0,1,1627,0,0,1,0,0,16,342,658,0,9,2577,2651,0,0,203,3111,0,0,0,0,0,0,0,0,0,0,71,13,0,0,149,3101,0,40,1469,5,0,0,8,41,0,0,202,6126,0,0,0,236,0,5,778,14,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57596,fish,
22,1452,7480,3878,0,33,3847,8758,0,0,7,2522,0,0,0,4,0,14,20,0,0,67,2166,2013,0,0,592,5951,0,0,0,420,0,0,0,0,0,0,4,2,0,0,589,2977,0,0,0,2059,0,0,0,0,0,0,0,0,0,0,1,50,0,0,0,2763,0,3,1793,240,0,0,2,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39,0,0,0,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44775,fish,
814,780,568,166,190,2829,2333,789,0,1,450,252,0,0,0,0,19,0,0,0,3,3196,2274,98,0,1035,4947,680,0,0,0,66,0,0,0,0,0,2,0,0,0,2,2833,484,0,0,471,1034,0,0,0,0,0,0,0,0,0,0,8,2,0,0,6,1944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28276,fish,
3828,77,0,5,673,437,230,90,76,898,1643,1097,0,7,561,631,2352,0,3,0,6386,89,33,36,3911,3938,1379,565,21,279,1533,1396,0,0,0,0,1363,3,1,7,6974,4117,486,222,434,2397,2897,1829,0,0,0,0,2,0,0,0,111,74,2,26,79,477,838,1256,52707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,283,0,0,0,190,33,7,0,0,0,12,0,0,0,0,0,51,0,0,0,906,25,0,0,1,27,197,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,1228,fish,
81,47,554,2577,0,41,1244,6916,0,0,19,5009,0,0,0,44,0,0,0,0,0,403,37,582,0,0,71,4831,0,0,0,690,0,0,0,0,0,0,0,0,0,0,347,1228,0,0,0,3965,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,3700,0,0,0,0,0,0,0,133,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31864,fish,
8979,1121,0,0,160,3512,877,0,0,0,14,0,0,0,0,0,6147,32,0,0,4399,10509,2348,0,0,56,3981,322,0,0,0,0,0,0,0,0,1,2394,8,0,0,1964,9022,1314,0,0,514,3027,0,0,0,0,0,0,0,0,0,4,1363,40,0,0,2052,8140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72300,fish,
2750,7129,40,0,2194,10277,4139,23,0,0,789,30,0,0,0,0,56,186,182,0,6136,20199,12529,103,0,7164,11742,1356,0,0,0,0,0,0,0,0,0,29,170,152,0,4353,16646,11980,0,0,435,8740,0,0,0,0,0,0,0,0,0,0,22,45,0,0,120,7411,3828,5400,0,0,569,1040,83,0,0,0,0,0,0,0,0,0,0,1,21,0,47785,26518,2692,14,0,8267,1351,2,0,0,0,0,0,0,0,0,0,0,3,3,0,6142,12404,4302,0,0,10,1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14735,fish,
2066,155,0,0,456,318,3,0,0,1,8,0,0,0,0,0,235,11,0,0,1479,3299,183,0,0,446,466,1,0,0,0,7,0,0,0,0,1,285,2,0,0,2609,3443,259,0,0,172,528,0,0,0,0,0,0,0,0,0,2,268,9,0,0,325,2543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19577,fish,
3780,565,1366,562,9365,15760,7033,5756,16,8426,4309,4923,0,24,1205,736,10,62,0,0,292,5832,1787,492,0,7641,8851,1696,0,0,790,732,0,0,0,0,0,0,0,0,0,95,4400,125,0,0,247,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,986,3835,4934,1685,0,5489,3883,674,0,3,1592,128,0,0,0,0,26,4730,3,1,0,21870,22158,26,0,0,1332,103,0,0,0,0,0,0,0,0,0,51,23161,0,0,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fish,
1926,5392,65,0,0,9250,10203,57,0,0,5029,6736,0,0,0,5926,0,0,0,0,0,1215,2390,0,0,1,7052,12731,0,0,0,15024,0,0,0,0,0,15,10,0,0,10,1671,3013,0,0,18,20135,0,0,0,0,0,0,0,0,0,0,67,5,0,0,118,9963,2308,2940,2,0,0,4148,5505,0,0,0,478,1158,0,0,0,236,0,0,0,0,0,108,93,0,0,0,1454,3186,0,0,0,3617,0,0,0,0,0,0,0,0,0,0,33,50,0,0,0,2567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90139,fish,
65,2921,2225,302,0,447,4094,2119,0,0,21,463,0,0,0,223,0,55,79,1,0,534,12675,5109,0,0,1748,10053,0,0,0,1100,0,0,0,0,0,0,724,107,0,0,5569,17706,0,0,6,8919,0,0,0,0,0,0,0,0,0,0,12,803,0,0,7,10129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88216,fish,
3387,2494,188,0,4197,6620,6793,2565,0,27,1430,2966,0,0,0,3,0,0,0,0,0,17,727,391,0,30,477,3090,0,0,0,430,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,8179,10,0,0,16187,12172,70,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fish,
1643,254,746,1642,1077,1048,1762,3156,0,0,0,62,0,0,0,0,0,1,14,69,720,2145,1802,2316,0,1610,1356,710,0,0,0,0,0,0,0,0,0,0,0,1,0,557,757,69,0,0,24,12,0,0,0,0,0,0,0,0,0,0,74,0,0,0,136,43,21227,0,247,104,760,414,58,0,0,0,0,0,0,0,0,0,0,0,0,0,313,243,12,0,0,51,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,1,0,fish,
684,112,0,0,390,1479,1190,0,26,95,1165,1096,0,0,62,1380,121,9,0,0,449,7856,2485,0,0,977,5215,2205,0,0,118,2155,0,0,0,0,0,867,0,0,635,3941,21314,3484,0,8,3090,10834,0,0,0,0,0,0,0,0,152,34,1731,17,3,176,5511,15928,0,4,0,0,0,539,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,154,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,95402,fish,
1141,93,0,0,64,793,81,0,0,0,126,15,0,0,0,0,110,8,0,0,312,8877,1195,0,0,1183,6127,122,0,0,0,43,0,0,0,0,0,627,44,0,0,1768,23205,1159,0,0,4082,8614,0,0,0,0,0,0,0,0,0,0,1429,11,0,0,2332,14161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77616,fish,
3604,3841,3548,256,3588,11495,13123,6555,0,2593,149,2396,0,191,75,154,1151,53,11,0,5595,10004,2625,1425,0,3131,1563,3424,0,723,1098,1169,0,0,0,0,1,2245,68,92,0,1522,640,563,0,0,45,802,0,0,0,0,0,0,0,0,0,1243,1086,3,0,0,490,208,505,1964,106,0,0,5393,664,11,0,0,0,0,0,0,0,0,1641,0,0,0,6141,36921,151,66,0,0,10,1365,0,0,0,144,0,0,0,0,0,12815,0,0,0,6852,19,21,0,0,0,81,0,0,0,0,0,0,0,0,0,1629,12380,0,0,0,3645,24,fish,
2816,3495,1,0,0,2769,331,0,0,0,3,0,0,0,0,0,0,22,0,0,0,4388,5658,0,0,0,5307,8,0,0,0,0,0,0,0,0,0,1,4,0,0,0,3646,1006,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1795,6,18,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,67,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31361,fish,
54,42,12,0,0,139,681,665,0,9,382,1550,0,0,1,98,0,0,0,0,0,56,82,12,0,23,630,1959,0,0,0,806,0,0,0,0,0,0,0,0,0,2,508,1094,0,0,70,2829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14429,fish,
5932,9704,9013,4427,54,272,566,385,0,0,0,0,0,0,0,0,84,542,1276,2039,83,1253,4346,5882,1,22,40,319,0,0,0,0,0,0,0,0,0,10,78,689,0,15,126,1794,0,0,3,27,0,0,0,0,0,0,0,0,0,0,0,69,0,0,2,1977,34066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16964,fish,
1908,73,0,0,694,214,0,0,0,1,0,0,0,0,0,0,914,0,0,0,8636,773,0,0,251,715,145,0,0,1,33,0,144,0,0,0,6897,192,0,0,724,2178,556,0,1,300,635,46,0,0,0,0,220,0,0,0,880,1358,40,0,2,827,1139,363,1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,103,0,0,0,0,0,0,fish,
2278,169,0,0,246,1442,188,0,0,21,99,13,0,0,0,4,46,18,0,0,38,2758,1122,0,0,448,2744,212,0,0,15,93,0,0,0,0,0,66,70,0,0,106,4835,2539,0,0,88,3769,0,0,0,0,0,0,0,0,0,0,135,263,0,0,60,9183,2224,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,12,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30496,fish,
172,228,364,71,0,190,1818,7408,0,0,0,1909,0,0,0,1,0,6,0,0,0,978,9422,10412,0,0,4852,36489,0,0,0,372,0,0,0,0,0,9,81,4,0,3,2463,26773,0,0,6,15227,0,0,0,0,0,0,0,0,0,0,3,13,0,0,5,7492,0,45,9,0,0,4,176,2085,0,0,0,133,0,0,0,0,0,0,0,0,0,47,3449,996,0,0,279,24659,0,0,0,28,0,0,0,0,0,0,0,0,0,0,279,8044,0,0,0,6839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79699,fish,
